City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Tuktoyaktuk,CA,2021-09-27 14:41:26,69.4541,-133.0374,30.2,80,75,10.36
67,Avarua,CK,2021-09-27 14:42:17,-21.2078,-159.775,68.05,100,19,1.14
68,Hobart,AU,2021-09-27 14:39:56,-42.8794,147.3294,47.05,83,75,1.01
69,Tautira,PF,2021-09-27 14:40:59,-17.7333,-149.15,75.22,79,100,16.98
70,Faanui,PF,2021-09-27 14:42:30,-16.4833,-151.75,79.0,78,11,18.52
71,Atambua,ID,2021-09-27 14:45:27,-9.1061,124.8925,72.66,86,66,3.42
72,Airai,TL,2021-09-27 14:45:28,-8.9266,125.4092,58.89,84,83,2.26
73,Asau,RO,2021-09-27 14:42:46,46.4333,26.4,65.39,68,71,4.03
74,Albany,US,2021-09-27 14:40:40,42.6001,-73.9662,63.09,81,98,7.96
75,Kampene,CD,2021-09-27 14:45:29,-3.6,26.6667,80.42,62,93,0.87
76,Port Alfred,ZA,2021-09-27 14:40:51,-33.5906,26.891,66.38,87,55,29.51
77,Bethel,US,2021-09-27 14:41:35,41.3712,-73.414,70.81,75,90,1.01
78,Thompson,CA,2021-09-27 14:42:10,55.7435,-97.8558,44.76,93,90,3.44
79,Columbus,US,2021-09-27 14:42:25,39.9612,-82.9988,74.34,62,1,1.01
80,Cozumel,MX,2021-09-27 14:45:30,20.5083,-86.9458,84.18,86,40,4.61
81,Mugur-Aksy,RU,2021-09-27 14:45:31,50.35,90.5,22.46,41,76,2.17
82,Saldanha,ZA,2021-09-27 14:43:39,-33.0117,17.9442,64.45,68,88,15.88
83,Hilo,US,2021-09-27 14:41:35,19.7297,-155.09,73.13,92,75,4.61
84,Ancud,CL,2021-09-27 14:42:56,-41.8697,-73.8203,47.73,76,65,7.87
85,Guarapari,BR,2021-09-27 14:45:32,-20.6667,-40.4975,82.29,67,13,18.54
86,Roald,NO,2021-09-27 14:45:32,62.5833,6.1333,70.72,52,0,16.11
87,Coyah,GN,2021-09-27 14:45:33,9.75,-13.4167,88.75,50,97,3.02
88,Okha,RU,2021-09-27 14:45:34,53.5739,142.9478,51.31,85,100,17.83
89,Bima,ID,2021-09-27 14:45:34,-8.4667,118.7167,74.98,85,34,3.98
90,Barrow,US,2021-09-27 14:41:36,71.2906,-156.7887,28.42,86,90,14.97
91,Konevo,RU,2021-09-27 14:45:35,62.1215,39.3192,47.62,84,92,4.29
92,Ludvika,SE,2021-09-27 14:45:35,60.1496,15.1878,60.6,59,15,11.12
93,Hofn,IS,2021-09-27 14:45:36,64.2539,-15.2082,46.42,61,75,16.11
94,Margate,GB,2021-09-27 14:41:19,51.3813,1.3862,66.04,54,16,13.06
95,Olinda,BR,2021-09-27 14:43:10,-8.0089,-34.8553,78.53,73,75,18.41
96,Saskylakh,RU,2021-09-27 14:41:57,71.9167,114.0833,27.7,90,42,12.71
97,Saint-Philippe,RE,2021-09-27 14:43:20,-21.3585,55.7679,74.79,80,30,12.17
98,Timoteo,BR,2021-09-27 14:45:37,-19.5825,-42.6444,88.61,38,29,6.46
99,Cangzhou,CN,2021-09-27 14:45:38,38.3167,116.8667,66.79,89,100,4.27
100,Trinidad,BO,2021-09-27 14:45:38,-14.8333,-64.9,87.78,58,0,9.22
101,Kapaa,US,2021-09-27 14:41:02,22.0752,-159.319,75.52,82,20,14.97
102,Adrar,MR,2021-09-27 14:41:40,20.5022,-10.0711,104.5,6,0,16.37
103,Juba,SS,2021-09-27 14:45:39,4.8517,31.5825,81.12,59,91,5.21
104,Pangnirtung,CA,2021-09-27 14:41:21,66.1451,-65.7125,30.2,74,75,3.44
105,Chuy,UY,2021-09-27 14:43:46,-33.6971,-53.4616,66.85,66,2,6.51
106,Tiksi,RU,2021-09-27 14:40:58,71.6872,128.8694,33.67,97,100,10.16
107,Warrington,GB,2021-09-27 14:42:53,53.3925,-2.5802,63.79,61,40,5.99
108,Alice Springs,AU,2021-09-27 14:45:10,-23.7,133.8833,80.15,13,99,10.36
109,Fallon,US,2021-09-27 14:45:41,39.4735,-118.7774,58.28,35,75,5.75
